ID,Branch,Experiment,Environment,Population / geometry,Screen N,Validation N,Holdout N,Protected holdout opened?,Canonical result,Candidate/base ratio,Wins,Worst ratio,Compute status,Status,Closure confidence,Potential upside,Next action,Source,
T68,Signed cubature theory,Degree-123 signed floor,Exact rational and directed coefficient certificate,"d256/depth32 infinite width; <=66,048 arbitrary signed mass-one nodes",0,0,0,No,Risk floor 0.9094360931 R_K; same-cost gain cap 1.099582486x.,0.9094360931315227,,,Verification only,Computer-assisted / external review pending,High inside declared scope,Simple lower-degree 1.10x barrier,Retain as independent certificate; T57 remains headline strongest floor.,PROMPT1_CONTINUATION_DEGREE123_REPORT.md,
T70,Adaptive contraction theory,Adjoint-potential contraction identity,Exact algebra,"Bias-free ReLU network; linear P,Q with (P-Q)x=0",0,0,0,No,Every target-free output contraction is one exact scalar adjoint-potential discrepancy; A^T e needs only r such scalars.,,,,No runtime,Proved / numerical verifier passes / hostile review pending,High algebraically,Converts the full-defect target into contracted scalar targets,Define a physical late-interface source and an absolute estimator for each scalar.,WHestBench_Best_Path_Continuation_v23.md,
T71,Adaptive contraction theory,Banded potential and no-free-lunch identity,Exact algebra,Any depth partition; same baseline cubature,0,0,0,No,"Depth-band discrepancies sum exactly, but the total potential differs from the output only by a linear term already integrated exactly.",,,,No runtime,Proved / numerical verifier passes / hostile review pending,High algebraically,Identifies the only useful escape: cheaper or analytic band expectations,Do not treat the unpartitioned identity as an estimator; certify one useful band.,WHestBench_Best_Path_Continuation_v23.md,
T72,Competition feasibility,Source-noise-compute frontier,Exact Cauchy-Schwarz optimization,Whitened source; independent unbiased scalar sample means; multiplicative MSE-times-compute score,0,0,0,No,Optimal adjusted ratio is (sqrt(r*)+S)^2 with S=sum sqrt(v_j gamma_j). At r*=0.20 only S<0.032802 can beat 4.34x.,,,,Analytic cost model,Proved in declared model / numerical optimum passes,High,Replaces a loose oracle gate with a quantitative estimator gate,Estimate v_j and gamma_j before any new learner or holdout.,WHestBench_Best_Path_Continuation_v23.md,
T73,Exact replay theory,Compiled final-layer common-shift replay,Exact finite-cloud identity,One remaining ReLU layer after the corrected checkpoint,0,0,0,No,F(delta)=g(Wdelta) exactly; each coordinate map is piecewise linear and evaluable from sorted margins and prefix sums.,,,,Negligible relative to full-network replay after preprocessing,Proved / finite-cloud verifier passes / code audit pending,High algebraically,Allows multi-checkpoint modes to be compressed and applied once at the late interface,Audit layer indexing and implement a deterministic replay verifier.,WHestBench_Best_Path_Continuation_v23.md,
T74,Signed cubature theory,Inertia-strengthened degree-280 floor,Exact positive-index theorem and rational witness,"d256/depth32 infinite width; <=66,048 arbitrary nodes; mass-one real weights",0,0,0,No,Risk floor 0.9370605225569535 R_K; same-cost gain cap 1.0671669288460727x.,0.9370605225569535,,,Verification only,Computer-assisted / external interval review pending,High inside declared scope,New strongest static signed theorem,Independent Arb/FLINT regeneration of v21 coefficient endpoints and human review.,T70_INERTIA_STRENGTHENED_SIGNED_ATOMIC_FLOOR.md; combined_verification_v23.json,
T75,Signed cubature theory,Arbitrary-total-mass floor,Constant-mode optimization and rational witness,"d256/depth32 infinite width; <=66,048 arbitrary nodes; unrestricted total mass",0,0,0,No,Risk floor 0.9370603033214825 R_K; optimal relaxed mass 0.9999997660391557.,0.9370603033214825,,,Verification only,Proved specialization / external interval review pending,High inside declared scope,Closes mass-one loophole,Keep separate from adaptive/nonlinear/free-mass estimators outside the static class.,WHestBench_Math_Continuation_v23_20260730.md; combined_verification_v23.json,
T76,Finite-width theory,Noise-stability moment dual,Exact Hermite representation and semi-infinite LP,Finite-width Gaussian first layer; arbitrary dependent downstream network,0,0,0,No,Finite-width kernel chaos masses are nonnegative; harmonic coefficients are positive moment functionals; finite point samples are nonidentifying.,,,,No runtime,Exact formulation / width256 inputs open,High mathematically,Valid compressed actual-width proof program,Build rigorous width256 intervals and degree62 dual before escalating.,T72_FINITE_WIDTH_NOISE_STABILITY_MOMENT_DUAL.md,
T77,Exact replay theory,Gaussian-ReLU suffix nonexpansivity,Exact ensemble identity,Prefix-measurable checkpoint states; independent equal-width He Gaussian suffix,0,0,0,No,Expected checkpoint-state error cannot increase through the independent suffix; one-layer variance bound 12||u-v||^4/m.,,,,No runtime,Proved / fixed-network application open,High in stated ensemble scope,Removes generic amplification as the replay bottleneck,Establish target replayability and legal source/suffix separation.,T74_GAUSSIAN_RELU_SUFFIX_NONEXPANSIVITY.md; combined_verification_v23.json,
T78,Signed cubature theory,Negative-atom count hierarchy,Exact inertia theorem and rational certificates,"Mass-one static rules; q negative weights; <=66,048 arbitrary nodes",0,0,0,No,"q>=1,072 rules cannot gain 1.05x; q>=4,160 rules are certified worse than Kerdock.",,,,Verification only,Computer-assisted / external interval review pending,High inside declared scope,Classifies near-boundary sign patterns,Combine with negative-mass and realizability constraints; do not infer existence.,T75_SIGN_COUNT_INERTIA_HIERARCHY.md; combined_verification_v23.json,
T79,Posterior information,Matched second-chaos score contraction,Exact theorem + association specialization,Complete Kerdock limiting depth31 preactivation transcript,0,0,0,No,Cross fraction 0.999693985; pure-hidden fraction 0.000306015; global sector 0.996666 of cross norm.,0.0011746500869848483,,,No runtime,Proved abstractly / numerical specialization review pending,High inside Gaussian-transcript scope,Identifies exact missing scalar; does not establish cheap access,Seek exact/shared-arithmetic estimator; no ordinary pilot.,T79_POSTERIOR_SCORE_CONTRACTION.md,
T80,Late-interface source capacity,Physical source-span gate for CLAF,Exact deterministic projection theorem,Frozen source states and final W31 metric,0,0,0,No,Best fan residual equals final-output Gram projection residual; frozen CLAF gate is <=0.00502.,0.00502,,,Linear algebra only,Proved / source arrays missing,High,Can close fan before implementation,Vendor source-state arrays and run union-span oracle once.,T80_CLAF_PHYSICAL_SOURCE_SPAN_GATE.md,
M172,Posterior geometry,Exact 64-ray plane observation diagnostic,Limiting Gaussian model; exact MUB incidence,Same-basis and cross-basis representative planes,0,0,0,No,64-ray capture 6.3969e-5 and 6.3956e-5 of dominant global score.,6.396857329766202e-05,,,Diagnostic only,Scoped diagnostic,Moderate,Rejects current plane in one declared channel,Do not generalize to transported finite-width source; run T80.,POSTERIOR_SCORE_PLANE_DIAGNOSTIC.md,
M173,Direct-output adaptive source,Basis-PCA source frontier,Authenticated OGAP full-width corpus,12 base networks ×3 grouped rotations; dev/validation/confirmation,12,12,12,No,"Adaptive mean rank≈36; confirmation pooled0.0749, worst0.1830.",0.0749,36/36 source gate,0.183,No extra source evaluations; output-linear correction,Gate A passed; estimator open,High for frozen source capacity,Winning-scale,Freeze source and solve T82 SOCP with untouched covariance.,AGENT8_WHITEBOX_OBSERVABLE_DISCOVERY_REPORT.md,
M174,Observability,Signed mechanism catalog,Authenticated OGAP full-width corpus,Same36 grouped cases,12,12,12,No,All declared signed phase observables fail out of network; direct rank40 frozen estimator ratio1.1646 on confirmation.,1.1646,No stable improvement,,Baseline arithmetic only,Closed tested forms,High for declared menu,None without new identity,Do not train generic predictors; seek exact identity or lower bound.,AGENT8_WHITEBOX_OBSERVABLE_DISCOVERY_REPORT.md,
T81,Information theory,Finite-design ReLU blind spot,"Exact constructive proof + public66,048-node verifier","Any finite nonzero design, d≥2",0,0,0,No,Universal deterministic target recovery from129 group-output means is impossible over full homogeneous-ReLU class.,,,,No runtime beyond verifier,Theorem complete,High in scope,Closes transcript-only branch,Move to weight/checkpoint information or ensemble-specific claims.,AGENT4_REPLAYABILITY_CONTINUATION_V3.md,
T82,Checkpoint gauges,Convex source-specific contraction frontier,Exact theorem + numerical architecture screens,Frozen terminal source and declared checkpoint family,0,0,0,No,Globally optimal linear telescope is SOCP; generic screens usually return direct estimation or unstable small gains.,,,,Optimization/covariance measurement required,Theorem complete / application open,High theorem; empirical source audit pending,Potential stop/pass certificate,Run on M173 source with primal/dual and untouched covariance.,WHestBench_Agent2_Checkpoint_Gauge_Continuation_20260730.md,
M175,Conic30,Confirmation and exact-control pilots,Full-width frozen confirmation,4 networks ×3 rotations; 8 pilot cases,0,0,12,No,"Source pooled0.156212, worst0.311349; pilots adjusted2.348–15.063 and min variance-cost27.4× allowed.",0.156212,5/12 zero-cost gate,0.311349,Source rays + pilot trajectories fully audited,Closed candidate,High for tested forms,Mechanistic only,Preserve tooling; stop sampled controls and descendants.,AGENT7_CONTINUATION_FINAL_REPORT.md,
T83/M176,Conic A90 master,Span theorem and provisional capacity,Exact algebra + exposed oracle diagnostic,12 diagnostic cases; full48 pending,0,0,12,No,A30 span is contained at same ray cost; provisional full90 pooled r*=0.02292.,0.02292,12-case diagnostic,,Fixed source ratio1.045881 under dense rays,Provisional,High theorem / low-moderate capacity confidence,Potentially winning,Reconstruct full48 and measure physical covariance.,AGENT6_CONTINUATION_V3_REPORT.md,
T84,Estimator economics,Joint covariance and charged-overhead score,Exact optimization theorems,Any frozen physical source and sampling policy,0,0,0,No,All training/gating streams charged; score-aware subspace is top eigenspace of S−N/n; row-matched cross-fit unbiased.,None,,,Complete deployment accounting framework,Theorem complete,High,Essential gate,Apply to M173 and M176 only.,AGENT6_CONTINUATION_V3_REPORT.md,
T85,Replay,Sorted stop-loss compiler,Exact algebra + local production-shape benchmark,"66,048×256 final preactivation cloud",0,0,0,No,Exact common-shift means/Jacobians; projected rank32 cost≈1.202B; direct-output path pays zero replay.,,,,Official immutable-array cost pending,Implementation theorem / fallback,High algebra; moderate cost projection,Removes replay blocker,"Keep as verifier/fallback, not leading path.",AGENT4_REPLAYABILITY_CONTINUATION_V3.md,
M178,Estimator economics,Score law and multifidelity audit,Official-like exposed harness,"100-network baseline and 90,624-row candidate",0,0,100,No,MC-rate score above floor is V·f/B; multifidelity is approximately9% adjusted worse despite lower raw MSE.,1.09,Candidate loses,,Complete row and per-row cost audit,Closed candidate / governance retained,High for reproduced harness,Prevents score-negative shipping,Use V·f and complete score for every sampler.,15_score_law_and_v26_lead_path_audit.md; Pasted text(63).txt,Underlying named report/scripts not located in Library search
M179,Direct-output observability,Adaptive PCA scalar phase features,Exposed Mini-style 100-network LORO,100,0,0,No,Pooled source r*=0.0773; feature R²≈−0.04; sign0.492; applied correction1.039× MSE.,1.039,No improvement,,Baseline transcript features only,Closed tested forms,High for declared features,None without new information,Do not expand generic coefficient models.,15_score_law_and_v26_lead_path_audit.md; Pasted text(63).txt,One feature family; complete class closure comes from T86/T87,
T86,Checkpoint gauges,Source-specific SOCP closure,Exact source + empirical covariance primal/dual,12 confirmation cases ×3 rotations,0,0,36,No,Untouched S1.27429 vs allowed0.20641; empirical dual S≥1.15593; adjusted optimum2.39599.,2.395989,0/36 competitive,,Free construction and continuous allocation granted,Closed declared linear class,High empirical/class-scoped,Closes former lead,Retain source theorem; no partition tuning.,AGENT4_SOLE_PATH_FINAL_REPORT.md,Dual is empirical; population failure uses untouched covariance
T87,Checkpoint gauges,All-layer terminal innovation dual,Exact inequality + replicated empirical dual,Selected confirmation cases,0,0,3,No,All-layer dual score lower bounds6.94–7.09 hard case and1.2078 favorable vs0.230415.,1.2078,No tested case passes,,All checkpoints1..32; free fitting granted,Closed tested all-layer linear class,High in stated empirical program,Eliminates depth loophole,Nonlinear/biased identities remain outside scope.,WHestBench_Priority_Continuation_v27.md,Exact empirical certificates; population concentration not proved universally
T88,Finite-width static theory,29-state tensor-degree floor,Exact-rational computer-assisted proof,Width256 depth32 ensemble,0,0,0,No,Static arbitrary-node mass-one signed risk floor1.9250241617e-8; component Kerdock≤2.6030433136e-8.,0.0790999515,,,Proof only,Theorem complete in trust base,High / independent implementation pending,Publication/class closure,"Proceed to degree62 dual, not estimator tuning.",WHestBench_Prompt2_FiniteWidth_Reconciliation_and_Closure_20260730.md,Competition threshold remains2.913× higher
M180,Multilevel estimators,Low-rank activation MLMC,Exposed full-width diagnostic,"Ranks8,32,128",0,0,0,No,"All two-level score gains below1:0.62,0.44,0.25.",,All lose,,Diagnostic proxy,Closed tested form,Moderate,Explains surrogate failures,"Compress moments, not trajectories.",15_score_law_and_v26_lead_path_audit.md; Pasted text(63).txt,Design-variance proxy scope
M181,Harmonic diagnostic,Angular spectrum fit,Six-network two-point fit,6 exposed networks,0,0,6,No,Large fitted high-degree tail; stronger ordinary design estimated small upside.,,,,Diagnostic only,Provisional / non-theorem,Low-moderate,Mechanistic interpretation,Do not use as quantitative class ceiling.,15_score_law_and_v26_lead_path_audit.md; Pasted text(63).txt,Conflicts in detail with exact kernel calculations; retain only qualitative signal
M182,Moment propagation,Marginal Edgeworth closure diagnostic,Oracle current moments; official Mini per report,Layers1-31,0,0,0,No,"Edgeworth mean error≈1.9e-4/layer, stable and7–11× better than Gaussian.",,,,Analytic O(n) marginal map,Scientific / reported,Moderate-high if reproduced,Marginal component near sufficient,Reproduce in common harness and preserve truncation.,Pasted text(64).txt,Underlying script not verified in Library
M183,Moment propagation,Gaussian covariance closure diagnostic,Oracle current state; empirical reference,Layers1-31,0,0,0,No,Sigma error≈0.44% early→1.8% deep; mean≈1.34%.,0.0134,,0.018,Analytic Gaussian pair map,Scientific / reported,Moderate; reference noise must be bounded,Identifies local bottleneck,Use dense M40 as reference correction.,Pasted text(64).txt,Layer-one exactness/noise-floor check required
M184,Moment propagation,Closure falsifier suite,Official Mini per report,"Delayed lags, LORO calibration, rank spectra",0,0,0,No,Delay worsens1.67%→3.40%; calibration≈1.01×; early state rank remains high.,,,,Diagnostics only,Closed tested fixes,Moderate,Narrows representation,No periodic restart or low-dimensional state quadrature.,Pasted text(64).txt,Scripts not verified in Library
M185,Cumulant compression,Tucker spectrum diagnostic,Empirical third-cumulant mode unfolding,"Selected layers1,8,31",0,0,0,No,R32 capture0.639/0.967/0.9999; depth-adaptive cost estimate≈3B.,,,,Oracle empirical factors; projected analytic cost,Provisional,Moderate structural / low deployability,Could fit under score floor,Test downstream contractions then derive analytic recurrence.,Pasted text(64).txt,"Tucker, not CP; Frobenius energy is not the score metric"
M186,Canonical synthesis,Analytic moment winning path,Cross-report reconciliation,"M03-M70,M165-M167 plus current diagnostics",0,0,0,No,Dense oracle pair closure already passes0.3%; sampling and free rollout fail; open state is compressed analytic transport + joint realizability.,,,,Target estimate≈3B plus O(n3) state operations,Primary constructive program,Moderate until free rollout,Winning-scale oracle,Run exact five-gate analytic program.,CONTINUED_EXPERIMENT_REPORT.md; BOUNDED_ML_REPORT.md; CONTINUATION_REPORT.md; Pasted text(64).txt,Do not describe dense pair formula as untested
T89,Joint sign–magnitude state,Pairwise sign-state nonclosure,Exact universal counterexample,Three-coordinate parity laws,0,0,0,No,"All pairwise sign/truncated statistics and current first/second moments agree, but next ReLU expectation differs by 0.25.",,,,Proof only,Theorem complete,High in universal scope,Prevents false recursive state,Use pair matrices only diagnostically.,T89_PAIRWISE_SIGN_STATE_NONCLOSURE.md,Does not close coherent latent laws or approximate ensemble-specific states
T90,Joint sign–magnitude state,Weighted absolute-kernel identities,Exact algebra,Any finite-second-moment law,0,0,0,No,ReLU first/second moments equal exact combinations of ordinary and weighted absolute kernels.,,,,Proof only,Theorem complete,High,Mechanism attribution,Run downstream attribution before sign-model work.,T90_WEIGHTED_SIGN_MAGNITUDE_IDENTITIES.md,"Current-layer sufficiency, not recursive closure"
T91,Conditional Gaussian mixture,Fixed-component recurrence,Exact conditional moment theorem,Finite Gaussian-mixture state,0,0,0,No,Componentwise exact ReLU moments and linear transport preserve conditional/unconditional first two moments and PSD.,,,,Analytic recurrence,Theorem complete / untested projection,High theorem / unknown accuracy,Potential coherent state,Proceed only through M187/M188.,AGENT1_LATENT_VARIABLE_COPULA_CLOSURE_20260730.md,Gaussian projection discards within-component higher structure
T92,Conditional Gaussian mixture,Correlation-mixture obstruction,Exact counterexample,Centered bivariate covariance mixtures,0,0,0,No,Gaussian marginals and zero third cumulants coexist with non-Gaussian ReLU pair moments; kappa22=2 Var(R).,,,,Proof only,Theorem complete,High,Explains fourth-order signal,Prioritize covariance prototypes over location-only mixtures.,AGENT1_LATENT_VARIABLE_COPULA_CLOSURE_20260730.md,"Mechanism example, not WHestBench empirical fit"
M187,Conditional Gaussian mixture,Covariance modulation + sign–magnitude attribution,Partial local oracle result,Selected full-width layers,0,0,0,No,K32 full covariance reaches5.33e-3 at layer16 and3.58e-3 at layer29; mean about4.8e-3 versus3e-3 gate. Sign–magnitude attribution not run.,,,,Oracle reference clusters; cost extrapolation,Partial fail / mechanism positive,Moderate local confidence,Narrows M192,Fold into compact joint-modulation ladder.,Pasted text(67).txt,Oracle clustering is not a legal rollout
M188,Conditional Gaussian mixture,Best legal mixture free rollout,Pending full rollout,Width256 depth32,0,0,0,No,Not run. Propagates the frozen best family from M192 with analytic initialization and no empirical refitting.,,,,Must remain <=27.2B effective,Conditional open,Unknown,Winning-scale,Run only after M192 passes with slack.,Agent1 and Agent4 mixture reports,"Every CDF, split, merge, eigensolver and fallback is charged"
T93,Tensor integration,Cartesian TT separation obstruction,Exact generic theorem + economics,Generic width256 ReLU ridge sum,0,0,0,No,Balanced-cut degree-two separation rank is 128 almost surely; affordable black-box TT rank is about 2-3.,,,,Proof/economic model,Closed broad continuous TT,High in generic scope,Narrows tensor route,No Cartesian/ordinary rotated TT build.,WHestBench_Agent5_Tensor_Network_Integration_Report_20260730.md,Does not prove every network-adaptive coordinate system fails
T94,Tensor integration,Kerdock Walsh densification,Exact finite-field theorem,2^16 Kerdock chirp index,0,0,0,No,"256 linear Walsh atoms expand to 32,641 nonzero even frequencies for z^2.",,,,Proof only,Theorem complete / rank pending,High support theorem,Cheap falsifier,Run M189 rank curves.,WHestBench_Agent5_Tensor_Network_Integration_Report_20260730.md,Dense support alone does not prove high QTT rank
M189,Tensor integration,Kerdock-index QTT audit,Pending existing-array test,Stored full-Kerdock arrays,0,0,0,No,Not run. Rank/pivot/query-union gate for direct final-output QTT.,,,,No new evaluation for rank gate; legal cross <=27.2B,Bounded open audit,Unknown / low prior,Potential compute compression,Close at rank >16 or failed common pivots.,WHestBench_Agent5_Tensor_Network_Integration_Report_20260730.md,Mean-blind fit required; complete-array TT-SVD can leak mean
T95,Compositional chaos,Coordinate-sparse PCE obstruction,Exact generic theorem,Dense continuous weights,0,0,0,No,Every allowed coordinate Hermite coefficient is generically nonzero; coordinate support is rotation-unstable.,,,,Proof only,Closed conventional sparse PCE,High in scoped generic setting,Narrows representation,Use tensor/environment ranks only.,AGENT6_SPARSE_HIGH_DEGREE_POLYNOMIAL_CHAOS_REPORT.md,Does not close all compositional/tensor polynomial methods
T96,Compositional chaos,Directional-measure transfer,Exact positive-homogeneity identity,Bias-free ReLU network,0,0,0,No,Exact weighted directional measure recursion and six-order contracted representation for degree-10 expectation.,,,,Proof only,Theorem / algorithm open,High identity / unknown ranks,Potential expectation engine,Run M190 before solver.,AGENT6_SPARSE_HIGH_DEGREE_POLYNOMIAL_CHAOS_REPORT.md,Inverse norms and gate-crossing require controlled implementation
M190,Compositional chaos,Environment-weighted degree10 engine,Scoped harmonic ceiling + unrun engine gate,Corrected final spectrum,0,0,0,No,Standalone exact degrees6-10 can improve residual by at most1.58x before cost.,,,,Zero-cost harmonic ceiling,Standalone demoted / engine open,Moderate-high in scoped interpretation,Cannot win alone,Retain only as compression engine or proof lane.,Pasted text(67).txt,Does not bound richer downstream contractions
M191,Canonical synthesis,V28 out-of-box reconciliation,Cross-agent markdown audit,"Agents1,2,5,6 reports",0,0,0,No,"One primary latent covariance-mixture program, one contracted-chaos engine gate and one QTT falsifier; broad pair-state/PCE/TT forms closed.",,,,No candidate compute,Canonical state,High as reconciliation,Directs resources,M187 -> M188; M190 parallel; M189 once.,Four agent reports,Agents3/4/7/8/9/10 new completions not located at audit cutoff
T97,Characteristic functions,Finite selected-CF nonclosure,Exact algebra and counterexamples,Dense ReLU layer,0,0,0,No,Finite uni/bivariate projection CF states are not recursively closed; equal stored CFs can produce different next ReLU means.,,,,Proof only,Theorem complete,High universal scope,Closes standalone spectral state,Use spectra only in coherent latent law.,agent_3_characteristic_function_fourier_closure.md,Does not close parametric latent spectral models
T98,Conditional Gaussian mixture,Tied-covariance recurrence,Exact analytic construction,Finite positive mixture,0,0,0,No,Shared-covariance mixture preserves approximate-law global mean/covariance exactly and remains PSD; K=1 equals Gaussian closure.,,,,One full covariance transform/layer plus K pair maps,Theorem / accuracy pending,High theorem,Primary cheap state family,Run M192.,Agent 4 report,Nontrivial initialization and projection error remain
T99,Activation fan,Facet current and map distinctness,Exact/scoped theorems,Generic continuous live weights,0,0,0,No,Mean reorganizes over gate facets; distinct live patterns almost surely have distinct affine maps.,,,,Proof only,Broad exact-map compression closed,High scoped confidence,Narrows fan route,Run only M193.,Agent7 report,Approximate low-normal-rank compression remains open
T100,Transcript observability,Finite baseline transcript blind spot,Exact architecture-valid construction,Any finite antipodal design,0,0,0,No,Two architecture-valid networks can agree on every baseline output value yet have different Gaussian means.,,,,Proof only,Theorem complete,High universal scope,Closes transcript-only exact identities,Require weights or new distributional information.,Agent8 report,Average-case full-weight estimators remain open
T101,Boundary geometry,Boundary-Stein identity,Exact distributional theorem,Homogeneous CPWL functions,0,0,0,No,Absolute expectation contains final zero-surface flux plus inherited-boundary Laplacian term.,,,,Proof only,Theorem complete / evaluation open,High identity,Defines missing phase information,Any boundary hedge must include ancestor terms.,Agent8; Agent10 reports,May restate a hard integral
T102,Full-weight learning,Complete symmetry quotient,Exact generic theorem,Full realized weights,0,0,0,No,"Target is deterministic after quotienting input rotations, positive gauges and hidden permutations; full-weight Bayes error is zero.",,,,Projected QERNO inference 5.9-6.5B,Mathematically open / deferred,High theorem / very low empirical prior,Prevents false impossibility claim,Only bounded M195.,Agent9 report,Sample complexity and approximation remain severe
T103,Nonlinear search,Stable nonlinear collapse and alignment gate,Scoped theorem,Small transcript deviations; bounded C2 map,0,0,0,No,Smooth nonlinear wrappers reduce to closed linear class at leading order; same-cost 80% improvement needs |rho|>=0.8944.,,,,Proof/search governance,Theorem/scoped closure,High in assumptions,Prunes huge search space,Use proof-carrying grammar only.,Agent10 report,New full-weight phase primitives are outside scope
M192,Conditional Gaussian mixture,Compact joint-modulation ladder,Mostly closed with tied/shared-covariance exception,Local K1536 representation and evaluation audits,0,0,0,No,"Accurate heteroscedastic representation reported at delta1.781e-3, but exact, shared-reference Taylor and low-rank Hermite evaluation all fail cost/accuracy. Exact tied/shared-correlation recurrence not isolated.",,,,General route uneconomic; special tied route pending,Mostly closed,Moderate pending reproduction,Removes broad primary program,Independent rerun plus one exact tied test.,Pasted text(68).txt,Do not universalize beyond tested evaluation families
M193,Activation fan,Boundary-normal/gate-current audit,Open; covariance-rank warning,Local activation covariance ranks,0,0,0,No,"Participation-ratio collapse is late and does not imply low early capture; r32 about46%, r128 about93% in cited early layer.",,,,No fan computation,Open bounded diagnostic,Low prior,Prevents false rank inference,Run only declared facet metric.,Pasted text(67).txt,Activation covariance rank is not boundary-normal rank
M194,Late innovation,Cubic boundary/Walsh bispectrum,Unrun; scope protected,Direct-output source,0,0,0,No,Static LORO/uniform-rule closure does not test a weight-coupled cubic boundary interaction.,,,,Unknown kernel cost,Open one-shot hedge,Low prior,Potential new phase primitive,One algebraic kernel only.,Pasted text(67).txt; Agent8,Do not generalize low-degree/static closure to this class
M195,Full-weight learning,Weight/state feature dictionary + QERNO hedge,Tested subclass closed,"25,600 grouped observations",0,0,0,No,"29-feature LONO R2 -0.018 to -0.002, chance sign, worse MSE.",,,,Handcrafted feature inference cheap,Subclass closed / full quotient deferred,High for tested dictionary,Stops feature expansion,No broad learner absent strong anchor.,Pasted text(67).txt,Complete quotient remains deterministic in principle
M196,Canonical synthesis,V29 late-agent reconciliation,Six-report audit,"Agents3,4,7,8,9,10",0,0,0,No,"Primary gate is tied/full mixture ladder M192; new theorem closures sharply reduce spectral, fan, transcript and nonlinear search classes.",,,,No candidate compute,Canonical state,High reconciliation confidence,Directs allocation,M192 -> M188; parallel M190; bounded hedges.,Six late reports,No empirical candidate was produced
T104,Hybrid estimation,Complete-block residual criterion,Exact variance identity + empirical correction,Complete Kerdock bases,0,0,0,No,Hybrid residual variance is Var_b(Q_b(f-g))/R; pointwise metrics can mis-rank anchors. Rank128:0.597 pointwise versus0.949 blockwise.,,,,No extra compute,Theorem/metric adopted,High,Changes all hybrid gates,Require complete blocks and shared cost.,Pasted text(67).txt,Anchor expectation must be known or charged
T105,Compositional chaos,Degree10 standalone ceiling,Scoped spectrum calculation,Final harmonic spectrum,0,0,0,No,Energy residual0.399 above degree5 and0.2532 above degree11 implies at most1.58x zero-cost gain.,,,,Zero-cost upper bound,Standalone closed,Moderate-high,Demotes M190 standalone,Retain engine role only.,Pasted text(67).txt,Spectrum estimate scope must be preserved
M197,Hybrid sampled moments,Edgeworth analytic mean from sampled layer moments,Completed multi-N local experiment,Rows4096-66048,0,0,0,No,K3+K4 reaches2.73e-7 at66048 but remains MC-rate; chain variance1.20e-2 versus direct1.11e-2.,,,,Same rows pay full forward cost,Closed,High local,"Strong marginal model, no information gain",Do not repeat same-row moment hybrid.,Pasted text(67).txt,Reference/test split details local
M198,Hybrid structured residual,Smoothed-anchor blockwise Gate A,Completed local mechanism test,Complete basis blocks,0,0,0,No,S_r/S_f≈0.0392 atalpha0.2 and≈0.242-0.249 atalpha0.5; rank anchors≈1 blockwise.,,,,Residual-only diagnostic,Mechanism passed,High local,First design-aware anchor,Use as gate for any new analytic anchor.,Pasted text(67).txt,Not a score without anchor mean
M199,Hybrid structured residual,Honest matched-cost smooth hybrid,Completed local test,"R8,16,64",0,0,0,No,All hybrid cells2-2.7x worse than direct at equal two-trajectory cost.,,,,"Both f,g and moments charged",Closed tested estimator,High local,Rejects artifact wins,Quarantine10.02x and5687x outputs.,Pasted text(67).txt,Smoothed family only
M200,Hybrid analytic anchor,Smoothed Gaussian closure,Completed local closure test,"Layers16,29",0,0,0,No,"alpha0.25 gives no closure gain; alpha2 only2.6x and still about5.3e-3 versus6.6e-4 requirement, while residual ratio≈0.805.",,,,Pure analytic covariance chain,Closed smoothed family,High local,Shows disjoint regimes,Seek a different analytic anchor class.,Pasted text(67).txt,Not a universal hybrid impossibility theorem
M201,Conditional Gaussian mixture,Full covariance K sweep,Partial oracle result,"K1,8,32",0,0,0,No,K32 gives3.08x/3.82x closure gains at layers16/29 but average about4.8e-3.,,,,Naive K64-128 cost too high,Partial fail,Moderate,Mechanism evidence,Focus tied/shared-low-rank variants.,Pasted text(67).txt,Oracle fitting
M202,Latent joint state,Location-latent rank sweep,Oracle representation result,"r32,r64",0,0,0,No,r64 mean about1.96e-3 passes; layer29 r64=8.6e-4. Joint/copula explains89-95% of gain.,,,,Particle realization uneconomic,Oracle pass / deployment fail,Moderate,Proves missing state representable,Search deterministic compression.,Pasted text(67).txt,Current particles are not legal/economic final method
M203,Full-weight learning,29-feature weight/state predictor,Completed grouped local test,"25,600 observations",0,0,0,No,LONO R2 -0.018 to -0.002; sign chance; MSE worse.,,,,Feature model,Closed subclass,High local,Stops handcrafted features,Broad quotient learner deferred.,Pasted text(67).txt,Not universal full-weight closure
M204,Canonical synthesis,V30 local-results reconciliation,Cross-result audit,Local runs + v29,0,0,0,No,"Hybrid residual mechanism positive, two concrete hybrid estimators closed, mixture ladder narrowed, several priority overclosures corrected.",,,,No candidate,Canonical state,High reconciliation confidence,Reorders portfolio,M192->M188; bounded M189/M193/M194; M190 engine; M195 deferred.,Pasted text(67).txt,No protected data opened
T106,Mixture evaluation,Mean-spread Taylor obstruction,Scoped mechanism,"Layers16,29 K64",0,0,0,No,Pooled covariance recenter shrinks DeltaS but not error; mean spread dominates shared-reference expansion.,,,,Taylor cost2.6e5/component,Scoped closure,Moderate-high local,Closes recentering/hierarchy,No more shared-reference Taylor.,Pasted text(68).txt,Requires independent rerun
