ID,Evidence level,Family,Experiment,Result,Verdict,Primary source
C56,16-network development; fresh holdout incomplete,Multi-start balanced coresets,Generate 2–16 balanced candidate subsets and select the candidate with minimum pre-tail feature-mean discrepancy,Four candidates gave development ratio about 0.99798; 16 candidates 0.99801 versus oracle 0.99236.,Cheap selector recovers limited oracle headroom; fresh validation incomplete,Multi-start coreset experiments
C57,Full-width synthetic screens,Tail-surrogate coreset features,"Add predicted final preactivation/ReLU features, selected partial final contributions, and layer-31 matching to coreset calibration",No material compression-error reduction after feature and calibration cost.,Closed,Tail-surrogate experiments
C58,20 full-width networks,Network-adaptive particle selection,"Select antipodal coordinate pairs using kink, norm, random-projection, downstream-sensitivity, and leverage proxies",All structured selectors underperformed balanced random selection; top feature norm was especially harmful at 1.10431x.,Closed; adaptive scoring introduced damaging outliers,Network-adaptive selection experiments
C59,Full-width synthetic oracle and frozen-selector tests,Adaptive Kerdock early stopping,Predict a network-specific number of complete Kerdock bases from cheap diagnostics,"Oracle ratio approximately 0.6245, but frozen learned selector averaged about 1.390 with worst network about 6.31x.",Large inaccessible oracle gap; deployable selector closed,Non-K3 continuation report
C60,Public 100-MLP raw-accuracy evaluation + exact kernel cost audit,"90,624-row multifidelity Kerdock",Evaluate rotated-basis augmentation on the public networks and audit honest FlopScope/error-cost accounting,"Raw MSE improved about 10% (roughly 2.283e-7 to 2.045e-7), but rows increased 37%; kernel error-cost and honest assembly-free projections were worse than ordinary Kerdock.",Genuine accuracy gain but no adjusted-score gain; reject,Multifidelity smoke and scoring-audit reports
M73,Frozen synthetic holdout after leakage audit,Direct residual learning,Predict partial-Kerdock residuals from cheap weight and 16-basis trajectory statistics,"An apparent strong result was traced to a feature duplicating the full-design mean. After removal, gain was only 1.006x and residual MSE remained 16.07x full Kerdock.",Closed in tested form; leakage explains headline result,Non-K3 continuation report
M74,"Held-out width 32, 64, and 128 synthetic suites",Permutation-equivariant weight-space learning,Predict diagonal mean-field residual from the complete sequence of network weight matrices,"Held-out gains approximately 2.43x at width 32, 1.94x at width 64, and up to 1.64x during width-128 scaling.",Broad analytic bias is learnable; scientifically positive but far from challenge accuracy,Weight-space learning V2/V3 reports
M75,Matched held-out width-32 and width-64 Kerdock analogues,Weight-space Kerdock-error learning,Use the same equivariant architecture to predict the residual error left by Kerdock,"Kerdock error-vector gain 0.99x; error-scale gains 0.94x at width 32 and 0.99x at width 64, while positive-control mean-field targets remained learnable.",Current weights-to-Kerdock-error path closed,Weight-space V3 decisive comparison
M76,Oracle diagnostic at widths 32 and 64,Kerdock residual mode structure,"Fit one oracle multiplicative scalar per network, Y≈(1+c)K, to characterize Kerdock error","Oracle scalar improved 17.68x at width 32 and 3.82x at width 64, but its sign and magnitude were not predictable from tested weight or basis diagnostics.",Large simple-looking but inaccessible network-specific phase,Weight-space V3 report
M77,Synthetic holdout through seeds 8–15,Spectral-ramp Gaussian closure,Shrink only the dominant covariance eigenvalue in early layers with a depth-decaying schedule,"Best holdout analytic MSE about 2.60e-5; general covariance shrinkage, trace preservation, and deeper-only schedules were worse.",Mechanistically informative but far from Kerdock competitiveness,Spectral-ramp closure continuation report
M78,15 held-out official-weight MLPs; oracle current-layer features,Transported-cumulant downstream contraction,Apply learned x1/x1a covariance correction and contract through actual next-layer weights,"Validation-fitted alpha≈0.669 produced 2.04x relative-variance MSE gain, 2.03x sigma-MSE gain, 98.3% case improvement, and sigma RMS 1.59%→1.12%.",Strong oracle-feature contraction result; deployable feature generation still required,next_variance_eval.json and user-provided rollout summary
M79,15 held-out MLPs; 32-layer oracle x1/x1a rollout,Transported-cumulant recursive rollout,Recursively apply the learned covariance correction with true x1/x1a features at every layer and no PSD projection,"Final mean MSE gain 1.921x, variance gain 1.926x, sigma gain 2.075x; all 15 MLPs improved. Minimum covariance eigenvalue was -0.234.","Correction survives recursion with oracle features, but state is not a valid PSD covariance",recursive_rollout_raw.json
M80,Same 15 held-out MLPs,PSD repair for transported-cumulant rollout,Apply diagonal-preserving eigenvalue clipping after every recursive covariance update,"435 repairs caused severe late-layer distortion; mean gain 0.373x, variance gain 0.459x, sigma gain 0.568x, with only 13.3% variance wins.",Repeated PSD projection is destructive; not evidence that the underlying correction is useless,recursive_rollout_psdclip.json
A19,Three independent 20-network full-width holdouts,Adaptive 2–6-layer suffix compiler,"Use a 2,064-row balanced pilot, compile stable-on/off paths over candidate suffix depths 2–6, and select depth solely by predicted arithmetic cost","Across 60 networks, raw-MSE ratio 1.00170 [0.99976,1.00372], ideal cost ratio 0.95358, calibrated score ratio 0.97865 [0.97566,0.98163], 59/60 calibrated wins.",Best new implementation candidate; official blocked-layout Mini-100 validation required,Non-K3 adaptive compiler continuation bundle
A20,Calibration from prior compiler accounting,Adaptive compiler score projection,Calibrate ideal arithmetic savings using the fraction of two-layer compiler savings that survived effective accounting,Projected adjusted score approximately 1.442e-7 from a 1.473e-7 assembly-free baseline; plausible range about 1.431e-7–1.453e-7.,Likely only 0.5–1% better than the two-layer compiler after overhead,Non-K3 adaptive compiler continuation bundle
A21,Untouched 20-network depth-extension suite,Deep suffix compiler extension,Extend adaptive compiler candidate depths from 2–6 to 2–8,Depth 7 selected once and depth 8 never; calibrated ratio changed only from about 0.97855 to 0.97829 while symbolic complexity increased.,Freeze maximum depth 6,Non-K3 adaptive compiler continuation bundle
A22,Official subprocess/FlopScope smoke tests,Raw-BLAS accounting workaround,Attempt to run a locally fast raw-BLAS Kerdock multifidelity package through the grader-style subprocess,"FlopScope remote arrays rejected out= and in-place writes; functional tracked operations would require roughly 373B FLOPs for 90,624 rows, above the 272B budget.",Scoring bypass invalid; raw-BLAS package closed,WhestBench subprocess logs and scoring-audit report
A23,Software/API/numeric validation,Factorized-K3 submission-readiness scaffold,"Build calibration, fresh-100 audit, guard, float32, API-check, and flopscope.numpy inference scaffolding around the x1/x1a model",Gaussian primitive matched reference closely; model float32/float64 relative RMS difference about 2.58e-7; estimated ML inference cost about 11.8B FLOPs before K3.,Infrastructure complete; no deployable factorized-K3 score yet,Submission-readiness stage work report
T22,Completed directed-rounding computer-assisted proof,Kerdock near-optimality theorem,"Regenerate all certified intervals, kernel mean, exact Gram multiplicities, rational polynomial witness, Delsarte lower bound, and outward-rounded ratio","Proved 1 ≤ Kerdock/optimum ≤ 1.0002336550102949 for network-independent nonnegative-weight linear cubature with support ≤66,048 under the d=256/depth32 infinite-width ReLU kernel.",Completed scoped theorem; supersedes T13 pending-certificate status,V5 computer-assisted proof package and final theorem
T23,Clean-room reproducibility and hostile audit,Proof reproducibility,"Delete generated artifacts, rerun verifier from a separate directory, regenerate interval partitions and theorem outputs, and compare manifest-tracked files",All 32 tracked files reproduced byte-for-byte; exact rational witness removed NumPy from the formal proof; trust base and exclusions documented.,"Reproducible computer-assisted proof, not proof-assistant formalization",V5 hostile audit and clean-room regeneration
T24,Paper and competition-package build validation,Research dissemination,"Produce concise paper, arXiv-ready source, contribution writeup, public explainer, reviewer guide, and minimal proof bundle","Sources compile cleanly and proof package verifies; remaining placeholders are graded submission ID, official score, and permanent repository URL.",Submission package ready for human review and competition metadata,Paper/contribution package report
